Designator,Mid X,Mid Y,Layer,Rotation,Comment,Footprint,Description
D1_H8,56.134,20.447,TopLayer,0,1PS79SB70,SOD523,"<H2>General-purpose Schottky diode</H2> General-purpose Schottky diodes in small Surface-Mounted Device (SMD) plastic  packages. <p><author>AAL Eindhoven MK</author><hr><p> <img src=http://www.nxp.com/img/NXP_logo.png"">"""
C1_A_IN_1,11.43,48.1331,TopLayer,180,1uF,CAPC1608X87N,"CAP, MLCC, 1UF, 16V, X7R, 0603, REEL; Product Range:MULTICOMP - MC Series; Capacitance:1µF; Capacitance Tolerance:± 10%; Dielectric Characteristic:X7R; Voltage Rating:16V; Capacitor Case Style:0603 [1608 Metric]; Operating Temperature Min:-55°C; Operating Temperature Max:125°C; Packaging:Full Reel; MSL:-; SVHC:No SVHC (20-Jun-2013); Capacitor Terminals:SMD"
C1_A_IN_2,11.712,31.6359,TopLayer,180,1uF,CAPC1608X87N,"CAP, MLCC, 1UF, 16V, X7R, 0603, REEL; Product Range:MULTICOMP - MC Series; Capacitance:1µF; Capacitance Tolerance:± 10%; Dielectric Characteristic:X7R; Voltage Rating:16V; Capacitor Case Style:0603 [1608 Metric]; Operating Temperature Min:-55°C; Operating Temperature Max:125°C; Packaging:Full Reel; MSL:-; SVHC:No SVHC (20-Jun-2013); Capacitor Terminals:SMD"
C3_A_IN_1,10.9221,52.832,TopLayer,90,1uF,CAPC1608X87N,"CAP, MLCC, 1UF, 16V, X7R, 0603, REEL; Product Range:MULTICOMP - MC Series; Capacitance:1µF; Capacitance Tolerance:± 10%; Dielectric Characteristic:X7R; Voltage Rating:16V; Capacitor Case Style:0603 [1608 Metric]; Operating Temperature Min:-55°C; Operating Temperature Max:125°C; Packaging:Full Reel; MSL:-; SVHC:No SVHC (20-Jun-2013); Capacitor Terminals:SMD"
C4_A_IN_1,12.573,43.688,TopLayer,180,1uF,CAPC1608X87N,"CAP, MLCC, 1UF, 16V, X7R, 0603, REEL; Product Range:MULTICOMP - MC Series; Capacitance:1µF; Capacitance Tolerance:± 10%; Dielectric Characteristic:X7R; Voltage Rating:16V; Capacitor Case Style:0603 [1608 Metric]; Operating Temperature Min:-55°C; Operating Temperature Max:125°C; Packaging:Full Reel; MSL:-; SVHC:No SVHC (20-Jun-2013); Capacitor Terminals:SMD"
C2_A_IN_1,20.32,55.1309,TopLayer,180,1uF,CAPC1608X87N,"CAP, MLCC, 1UF, 16V, X7R, 0603, REEL; Product Range:MULTICOMP - MC Series; Capacitance:1µF; Capacitance Tolerance:± 10%; Dielectric Characteristic:X7R; Voltage Rating:16V; Capacitor Case Style:0603 [1608 Metric]; Operating Temperature Min:-55°C; Operating Temperature Max:125°C; Packaging:Full Reel; MSL:-; SVHC:No SVHC (20-Jun-2013); Capacitor Terminals:SMD"
C4_A_IN_2,11.5571,27.3051,TopLayer,90,1uF,CAPC1608X87N,"CAP, MLCC, 1UF, 16V, X7R, 0603, REEL; Product Range:MULTICOMP - MC Series; Capacitance:1µF; Capacitance Tolerance:± 10%; Dielectric Characteristic:X7R; Voltage Rating:16V; Capacitor Case Style:0603 [1608 Metric]; Operating Temperature Min:-55°C; Operating Temperature Max:125°C; Packaging:Full Reel; MSL:-; SVHC:No SVHC (20-Jun-2013); Capacitor Terminals:SMD"
C3_A_IN_2,11.567,34.1759,TopLayer,180,1uF,CAPC1608X87N,"CAP, MLCC, 1UF, 16V, X7R, 0603, REEL; Product Range:MULTICOMP - MC Series; Capacitance:1µF; Capacitance Tolerance:± 10%; Dielectric Characteristic:X7R; Voltage Rating:16V; Capacitor Case Style:0603 [1608 Metric]; Operating Temperature Min:-55°C; Operating Temperature Max:125°C; Packaging:Full Reel; MSL:-; SVHC:No SVHC (20-Jun-2013); Capacitor Terminals:SMD"
C2_A_IN_2,20.066,34.671,TopLayer,180,1uF,CAPC1608X87N,"CAP, MLCC, 1UF, 16V, X7R, 0603, REEL; Product Range:MULTICOMP - MC Series; Capacitance:1µF; Capacitance Tolerance:± 10%; Dielectric Characteristic:X7R; Voltage Rating:16V; Capacitor Case Style:0603 [1608 Metric]; Operating Temperature Min:-55°C; Operating Temperature Max:125°C; Packaging:Full Reel; MSL:-; SVHC:No SVHC (20-Jun-2013); Capacitor Terminals:SMD"
R3_A_IN_1,21.209,45.9741,TopLayer,0,2.2K,RESC1608X55N,RES SMD 1.6M OHM 5% 1/10W 0603
